# schema=square-j1-j2-full-spin-isotypic-rational-witness-v1
# denominator=1000000
# model_mof_sha256=3310ea7c41b857223fe001e6bb3f9a64c75f187a33788585accbb10091055e68
# runmeta_sha256=9085804ef2c2eaf836095f9df43b83e0cc5bc3feed2a6e1b87da7748b42fee7e
# solve_result_sha256=602975f64379a77b1c098eb20620f07051bd0c9bc56df82d7e5057a4b2f5044e
# primal_values_sha256=5b4a9c8b93fc51d0033997e82404809b09136f0804ae3d987f48d2bcae3a43e2
index	name	numerator
288	full_spin_isotypic_invariant_moment[288]	-104
289	full_spin_isotypic_invariant_moment[289]	-136
290	full_spin_isotypic_invariant_moment[290]	-104
291	full_spin_isotypic_invariant_moment[291]	-99
292	full_spin_isotypic_invariant_moment[292]	-91
293	full_spin_isotypic_invariant_moment[293]	-99
294	full_spin_isotypic_invariant_moment[294]	-91
295	full_spin_isotypic_invariant_moment[295]	-158
296	full_spin_isotypic_invariant_moment[296]	-129
297	full_spin_isotypic_invariant_moment[297]	-158
298	full_spin_isotypic_invariant_moment[298]	-129
299	full_spin_isotypic_invariant_moment[299]	-136
300	full_spin_isotypic_invariant_moment[300]	-136
301	full_spin_isotypic_invariant_moment[301]	-136
302	full_spin_isotypic_invariant_moment[302]	-104
303	full_spin_isotypic_invariant_moment[303]	-136
304	full_spin_isotypic_invariant_moment[304]	-104
305	full_spin_isotypic_invariant_moment[305]	-104
306	full_spin_isotypic_invariant_moment[306]	-67
307	full_spin_isotypic_invariant_moment[307]	-136
308	full_spin_isotypic_invariant_moment[308]	-67
309	full_spin_isotypic_invariant_moment[309]	-136
310	full_spin_isotypic_invariant_moment[310]	-104
311	full_spin_isotypic_invariant_moment[311]	-663
312	full_spin_isotypic_invariant_moment[312]	-494
313	full_spin_isotypic_invariant_moment[313]	-173
314	full_spin_isotypic_invariant_moment[314]	-494
315	full_spin_isotypic_invariant_moment[315]	-173
316	full_spin_isotypic_invariant_moment[316]	-276
317	full_spin_isotypic_invariant_moment[317]	-193
318	full_spin_isotypic_invariant_moment[318]	-119
319	full_spin_isotypic_invariant_moment[319]	-193
320	full_spin_isotypic_invariant_moment[320]	-119
321	full_spin_isotypic_invariant_moment[321]	-663
322	full_spin_isotypic_invariant_moment[322]	-653
323	full_spin_isotypic_invariant_moment[323]	-663
324	full_spin_isotypic_invariant_moment[324]	-653
325	full_spin_isotypic_invariant_moment[325]	-276
326	full_spin_isotypic_invariant_moment[326]	-236
327	full_spin_isotypic_invariant_moment[327]	-276
328	full_spin_isotypic_invariant_moment[328]	-236
329	full_spin_isotypic_invariant_moment[329]	-173
330	full_spin_isotypic_invariant_moment[330]	-494
331	full_spin_isotypic_invariant_moment[331]	-173
332	full_spin_isotypic_invariant_moment[332]	-119
333	full_spin_isotypic_invariant_moment[333]	-193
334	full_spin_isotypic_invariant_moment[334]	-119
335	full_spin_isotypic_invariant_moment[335]	-173
336	full_spin_isotypic_invariant_moment[336]	-30
337	full_spin_isotypic_invariant_moment[337]	-119
338	full_spin_isotypic_invariant_moment[338]	-66
339	full_spin_isotypic_invariant_moment[339]	-173
340	full_spin_isotypic_invariant_moment[340]	-119
341	full_spin_isotypic_invariant_moment[341]	486885
342	full_spin_isotypic_invariant_moment[342]	6387
343	full_spin_isotypic_invariant_moment[343]	-5865
344	full_spin_isotypic_invariant_moment[344]	6387
345	full_spin_isotypic_invariant_moment[345]	5666
346	full_spin_isotypic_invariant_moment[346]	6387
347	full_spin_isotypic_invariant_moment[347]	5666
348	full_spin_isotypic_invariant_moment[348]	-3719
349	full_spin_isotypic_invariant_moment[349]	188
350	full_spin_isotypic_invariant_moment[350]	-3
351	full_spin_isotypic_invariant_moment[351]	188
352	full_spin_isotypic_invariant_moment[352]	186
353	full_spin_isotypic_invariant_moment[353]	188
354	full_spin_isotypic_invariant_moment[354]	186
355	full_spin_isotypic_invariant_moment[355]	6387
356	full_spin_isotypic_invariant_moment[356]	-174
357	full_spin_isotypic_invariant_moment[357]	-526
358	full_spin_isotypic_invariant_moment[358]	-174
359	full_spin_isotypic_invariant_moment[359]	-20
360	full_spin_isotypic_invariant_moment[360]	-174
361	full_spin_isotypic_invariant_moment[361]	-20
362	full_spin_isotypic_invariant_moment[362]	188
363	full_spin_isotypic_invariant_moment[363]	-2
